288,225,368,225,368,260,288,260,0.99989426
192,101,320,101,320,145,192,145,0.9998888
64,489,528,489,528,523,64,523,0.99988425
432,60,544,60,544,95,432,95,0.99988246
224,58,304,58,304,97,224,97,0.99987376
32,385,368,385,368,423,32,423,0.99986243
32,262,416,262,416,300,32,300,0.9998591
464,10,560,10,560,54,464,54,0.9998584
32,341,432,341,432,381,32,381,0.9998555
32,217,128,217,128,255,32,255,0.9998542
48,453,496,453,496,491,48,491,0.9998529
32,171,192,171,192,212,32,212,0.99985087
32,111,80,111,80,146,32,146,0.9998499
32,296,416,296,416,332,32,332,0.9998492
48,588,544,588,544,620,48,620,0.99984825
48,521,528,521,528,555,48,555,0.99984765
48,555,368,555,368,589,48,589,0.9998473
