272,60,528,60,528,103,272,103,0.9998518
96,160,336,160,336,205,96,205,0.9998516
96,120,607,120,607,168,96,168,0.999851
96,594,480,594,480,645,96,645,0.999846
96,517,464,517,464,569,96,569,0.9998418
96,206,512,206,512,262,96,262,0.99984145
96,556,480,556,480,608,96,608,0.99983823
96,2,528,2,528,55,96,55,0.99983466
96,632,464,632,464,683,96,683,0.9998342
96,753,256,753,256,795,96,795,0.9998336
240,3,528,3,528,52,240,52,0.99982953
96,257,496,257,496,308,96,308,0.99982625
144,386,512,386,512,432,144,432,0.99982566
112,424,480,424,480,475,112,475,0.99982554
384,352,512,352,512,393,384,393,0.99982196
96,718,464,718,464,769,96,769,0.99981993
208,304,496,304,496,351,208,351,0.9998192
112,666,240,666,240,712,112,712,0.9998117
112,459,336,459,336,509,112,509,0.9998097
