16,315,560,315,560,346,16,346,0.99980813
288,212,528,212,528,243,288,243,0.99980277
16,246,432,246,432,277,16,277,0.99979633
16,179,160,179,160,209,16,209,0.9997789
192,444,560,444,560,472,192,472,0.9997638
240,84,352,84,352,124,240,124,0.99976176
16,570,112,570,112,604,16,604,0.9997595
192,574,496,574,496,603,192,603,0.99974495
16,280,432,280,432,310,16,310,0.9997435
16,142,336,142,336,172,16,172,0.9997392
288,179,528,179,528,210,288,210,0.99973494
16,403,192,403,192,432,16,432,0.9997217
16,444,80,444,80,473,16,473,0.99971527
16,491,496,491,496,523,16,523,0.9997117
192,532,496,532,496,560,192,560,0.99969137
16,368,224,368,224,397,16,397,0.99967
16,532,128,532,128,564,16,564,0.9996687
288,404,528,404,528,434,288,434,0.9996655
16,211,128,211,128,241,16,241,0.9996644
128,13,464,13,464,64,128,64,0.9996581
