96,122,512,122,512,154,96,154,0.99981076
304,436,368,436,368,470,304,470,0.9997894
304,398,544,398,544,432,304,432,0.9997887
96,177,416,177,416,213,96,213,0.9997675
64,434,192,434,192,470,64,470,0.999762
64,398,208,398,208,432,64,432,0.99976045
256,18,352,18,352,55,256,55,0.9997577
304,477,400,477,400,508,304,508,0.99975497
96,226,304,226,304,260,96,260,0.9997547
64,347,144,347,144,375,64,375,0.9997503
304,517,416,517,416,549,304,549,0.9997501
64,604,607,604,607,636,64,636,0.9997464
64,267,544,267,544,301,64,301,0.9997402
96,68,464,68,464,104,96,104,0.9997384
64,517,224,517,224,550,64,550,0.9997379
64,473,208,473,208,511,64,511,0.99973756
64,717,288,717,288,750,64,750,0.9997373
64,763,336,763,336,795,64,795,0.9997353
64,668,288,668,288,705,64,705,0.99973506
64,556,352,556,352,591,64,591,0.99973243
32,319,544,319,544,358,32,358,0.9997317
160,635,544,635,544,666,160,666,0.9997292
