0,569,576,569,576,601,0,601,0.99974316
0,542,96,542,96,573,0,573,0.99973196
0,421,480,421,480,453,0,453,0.9997315
0,452,304,452,304,482,0,482,0.99972767
0,116,320,116,320,147,0,147,0.9997272
0,158,240,158,240,189,0,189,0.99972624
0,513,592,513,592,542,0,542,0.9997143
0,483,544,483,544,512,0,512,0.9997092
0,216,240,216,240,249,0,249,0.99970394
0,284,240,284,240,317,0,317,0.9997019
144,31,480,31,480,66,144,66,0.9997012
384,232,576,232,576,265,384,265,0.99970007
384,173,576,173,576,204,384,204,0.99969065
384,116,592,116,592,148,384,148,0.99968624
288,173,320,173,320,202,288,202,0.9996846
0,191,32,191,32,216,0,216,0.99968195
0,251,32,251,32,276,0,276,0.9996749
384,287,560,287,560,318,384,318,0.9996685
144,75,464,75,464,106,144,106,0.999668
32,390,192,390,192,423,32,423,0.99965835
