16,244,112,244,112,279,16,279,0.9997979
368,204,448,204,448,237,368,237,0.9997923
272,340,496,340,496,375,272,375,0.9997888
368,155,512,155,512,187,368,187,0.99977916
0,300,256,300,256,333,0,333,0.99977356
0,203,128,203,128,238,0,238,0.9997681
0,572,560,572,560,603,0,603,0.9997582
0,340,208,340,208,373,0,373,0.99975723
32,22,192,22,192,53,32,53,0.99975175
464,23,544,23,544,52,464,52,0.9997495
0,443,288,443,288,476,0,476,0.9997478
368,246,496,246,496,277,368,277,0.99974316
336,22,384,22,384,55,336,55,0.99974257
272,382,496,382,496,415,272,415,0.99973685
0,378,144,378,144,411,0,411,0.99972254
0,484,448,484,448,520,0,520,0.99972004
0,529,384,529,384,565,0,565,0.9997187
240,22,272,22,272,54,240,54,0.9997079
0,151,144,151,144,189,0,189,0.9997038
0,105,112,105,112,140,0,140,0.99970263
480,66,528,66,528,94,480,94,0.99969673
368,108,416,108,416,141,368,141,0.999696
0,416,256,416,256,448,0,448,0.99969065
0,65,400,65,400,95,0,95,0.99968266
